,pl_name,ra,dec
17909,Kepler-1776 b,291.5344017,47.0424958
17910,Kepler-1720 b,296.8086813,47.1718557
17911,Kepler-1731 b,291.2544229,36.7434302
17912,Kepler-1731 b,291.2544229,36.7434302
17913,Kepler-1885 b,288.7507112,47.4909206
17914,Kepler-511 c,282.9455384,47.5749181
17915,Kepler-1785 b,295.7921797,47.6000699
17916,Kepler-1785 b,295.7921797,47.6000699
17917,Kepler-589 b,280.6414331,47.7520581
17918,Kepler-1948 b,287.3640804,47.7853043
17919,Kepler-1957 b,293.711436,47.8874467
17920,Kepler-1667 b,283.5329505,48.0943604
17921,Kepler-1667 b,283.5329505,48.0943604
17922,Kepler-1530 c,288.1624396,48.165153
17923,Kepler-1693 c,290.2015581,48.1857799
17924,Kepler-1693 c,290.2015581,48.1857799
17925,Kepler-1693 b,290.2015581,48.1857799
17926,Kepler-1693 c,290.2015581,48.1857799
17927,Kepler-1820 b,296.71274,48.2722828
17928,Kepler-1916 b,293.0705754,48.387679
17929,Kepler-1813 b,292.2399069,48.5115214
17930,Kepler-1750 b,292.3514917,48.5110714
17931,Kepler-1760 b,284.1326058,48.8251452
17932,Kepler-1699 b,292.1373281,48.9171579
17933,Kepler-1964 b,297.0588033,49.4784362
17934,Kepler-1717 b,295.2126472,49.56216
17935,Kepler-1831 b,295.3024604,49.5890456
17936,Kepler-534 c,296.4185696,49.540148
17937,Kepler-324 b,286.4714473,49.6490933
17938,KOI-984 b,291.0489438,36.8400772
17939,Kepler-1821 b,294.5254573,49.872484
17940,Kepler-1821 b,294.5254573,49.872484
17941,Kepler-1488 b,286.6464265,49.9377735
17942,Kepler-1839 b,294.2244432,50.0755761
17943,Kepler-1860 b,294.3508497,50.0809627
17944,Kepler-385 b,294.3385109,50.3365178
17945,Kepler-595 b,294.5703593,50.6730147
17946,Kepler-394 b,296.3019792,50.6723115
17947,Kepler-1752 b,290.8541401,51.2227435
17948,Kepler-1903 b,290.8882981,51.2481617
17949,Kepler-1903 b,290.8882981,51.2481617
17950,Kepler-1799 b,288.3086994,51.4783348
17951,Kepler-1770 b,299.2502851,43.4103663
17952,Kepler-1770 b,299.2502851,43.4103663
17953,Kepler-1770 b,299.2502851,43.4103663
17954,Kepler-1799 b,288.3086994,51.4783348
17955,Kepler-1799 b,288.3086994,51.4783348
17956,Kepler-1868 b,293.2983733,43.5558025
17957,Kepler-1868 b,293.2983733,43.5558025
17958,Kepler-1850 b,287.1428295,43.6161177
17959,Kepler-1730 b,281.9605834,43.7030386
17960,Kepler-1730 b,281.9605834,43.7030386
17961,Kepler-1730 b,281.9605834,43.7030386
17962,Kepler-1778 b,287.3612976,43.7388
17963,Kepler-1778 b,287.3612976,43.7388
17964,Kepler-1778 b,287.3612976,43.7388
17965,Kepler-1832 b,299.8517779,43.7320611
